Country,Clicks,Impressions,CTR,Position
Trinidad & Tobago,634,12140,5.22%,43.45
Palestine,631,16772,3.76%,40.7
Dominican Republic,627,17679,3.55%,45.07
Slovenia,608,10999,5.53%,28.12
Paraguay,605,7822,7.73%,37.64
Moldova,602,6456,9.32%,37.07
Macedonia,581,6575,8.84%,32.06
Morocco,580,34190,1.7%,43.39
Kosovo,497,4693,10.59%,32.34
Kenya,468,15910,2.94%,37.06
Syria,452,5034,8.98%,17
Azerbaijan,433,9566,4.53%,42.48
Malta,409,2961,13.81%,20.07
Nepal,397,22001,1.8%,46.85
Libya,377,3587,10.51%,28.66
Armenia,370,5035,7.35%,38.36
Albania,336,6713,5.01%,37.65
Tunisia,323,13319,2.43%,42.28
Bolivia,323,8167,3.95%,44.63
Jamaica,317,10133,3.13%,41.38
Turkmenistan,312,2797,11.15%,5.19
Yemen,295,2641,11.17%,18.36
Uruguay,282,7298,3.86%,46.95
Brunei,282,2629,10.73%,18.24
Montenegro,258,2913,8.86%,33.04
Kyrgyzstan,250,3966,6.3%,40.43
Algeria,248,27411,0.9%,45.28
Iceland,222,2422,9.17%,22.19
Nigeria,214,16386,1.31%,27.03
Papua New Guinea,190,1638,11.6%,9.43
Belize,186,2220,8.38%,37.91
Bahamas,179,4425,4.05%,36.42
South Sudan,178,1116,15.95%,7.09
Macau,176,1218,14.45%,15.04
Sri Lanka,156,12731,1.23%,46.51
Myanmar (Burma),148,6774,2.18%,35.32
Afghanistan,138,1593,8.66%,13.63
Oman,134,5584,2.4%,41.6
Nicaragua,130,2748,4.73%,40.65
U.S. Virgin Islands,122,991,12.31%,29.78
Uganda,120,3257,3.68%,27.87
Somalia,118,1753,6.73%,21.49
Northern Mariana Islands,113,477,23.69%,5.36
Aruba,107,798,13.41%,33
Congo - Kinshasa,95,1455,6.53%,22.76
Haiti,92,1534,6%,28.2
Ghana,86,6551,1.31%,33.41
St. Lucia,85,1206,7.05%,43.09
Cayman Islands,85,802,10.6%,39.88
Djibouti,81,723,11.2%,18.31
Niger,81,465,17.42%,10.53
Namibia,70,1617,4.33%,38.85
Mali,66,808,8.17%,31.4
Bermuda,66,674,9.79%,43.99
Jersey,65,597,10.89%,24.62
New Caledonia,65,436,14.91%,29.23
Rwanda,61,1801,3.39%,40.74
Réunion,61,1504,4.06%,43.2
Curaçao,61,868,7.03%,42.53
Timor-Leste,61,281,21.71%,11.43
Liberia,60,592,10.14%,11.32
Zimbabwe,59,1980,2.98%,32.65
Barbados,58,4224,1.37%,51.13
Ethiopia,57,11476,0.5%,49.92
Suriname,57,1197,4.76%,39.39
Guernsey,56,358,15.64%,18.65
Zambia,54,2578,2.09%,37.4
Isle of Man,53,614,8.63%,23.6
Guyana,52,1830,2.84%,37.78
Seychelles,52,1718,3.03%,42.91
Senegal,50,3427,1.46%,44.95
Madagascar,50,1789,2.79%,42.63
Fiji,48,927,5.18%,25.72
Cuba,47,1374,3.42%,25.47
Andorra,47,602,7.81%,41.16
French Polynesia,45,323,13.93%,39.76
Tanzania,44,2474,1.78%,36.91
Cameroon,42,1572,2.67%,32.14
Côte d’Ivoire,39,2889,1.35%,43.69
Tajikistan,39,690,5.65%,40.45
Central African Republic,37,220,16.82%,7.26
Marshall Islands,34,150,22.67%,20.32
Laos,33,2739,1.2%,47.45
Maldives,32,1561,2.05%,34.62
Solomon Islands,31,213,14.55%,10.24
Mozambique,30,2212,1.36%,47.3
San Marino,30,148,20.27%,23.11
Angola,26,3351,0.78%,53.21
Mauritius,26,2590,1%,38.39
Bhutan,26,674,3.86%,24.8
Chad,26,209,12.44%,11.21
Samoa,26,203,12.81%,11.85
Turks & Caicos Islands,25,315,7.94%,38.97
Burkina Faso,24,785,3.06%,43.34
Dominica,23,724,3.18%,32.09
Guadeloupe,23,716,3.21%,46.6
Martinique,23,544,4.23%,44.91
Sudan,20,306,6.54%,28.17
Sierra Leone,19,372,5.11%,27.28
Micronesia,18,116,15.52%,22.03
Grenada,17,840,2.02%,50.19
Antigua & Barbuda,16,750,2.13%,43.39
Mayotte,16,157,10.19%,41.71
Gabon,15,1002,1.5%,51.5
Congo - Brazzaville,15,752,1.99%,46.34
British Virgin Islands,15,640,2.34%,48.72
Sint Maarten,15,308,4.87%,40.87
Gibraltar,15,254,5.91%,31.58
Cape Verde,14,507,2.76%,45.25
Greenland,14,172,8.14%,22.23
Liechtenstein,14,163,8.59%,17.01
Palau,14,154,9.09%,26.6
Togo,12,1512,0.79%,51.66
Guinea,12,180,6.67%,20.91
Botswana,11,1227,0.9%,43.73
Benin,10,847,1.18%,43.17
Malawi,10,706,1.42%,31.97
Monaco,10,62,16.13%,9.47
Antarctica,10,38,26.32%,8.82
Svalbard & Jan Mayen,10,21,47.62%,9.62
St. Kitts & Nevis,9,569,1.58%,46.77
American Samoa,9,135,6.67%,17.04
Åland Islands,9,102,8.82%,17.48
Tonga,9,60,15%,21.32
Gambia,8,418,1.91%,38.19
Swaziland,8,343,2.33%,31.92
French Guiana,8,233,3.43%,45.38
Western Sahara,8,114,7.02%,37.47
St. Martin,8,51,15.69%,23.94
Nauru,8,48,16.67%,4.5
Mauritania,7,477,1.47%,33.29
Burundi,7,261,2.68%,45.87
Faroe Islands,6,177,3.39%,26.9
Falkland Islands (Islas Malvinas),5,28,17.86%,15.32
St. Vincent & Grenadines,3,511,0.59%,45.97
Vanuatu,3,99,3.03%,33.95
Caribbean Netherlands,3,81,3.7%,31.07
Montserrat,3,41,7.32%,45.15
Cook Islands,3,32,9.38%,12.88
St. Helena,3,28,10.71%,24.39
St. Barthélemy,3,23,13.04%,13.87
British Indian Ocean Territory,3,15,20%,13.07
Lesotho,2,448,0.45%,39.57
Kiribati,2,22,9.09%,24.14
Equatorial Guinea,1,72,1.39%,39.22
Guinea-Bissau,1,41,2.44%,45.95
North Korea,1,7,14.29%,5
Christmas Island,1,7,14.29%,7.86
Niue,1,2,50%,1
Anguilla,0,111,0%,50.64
São Tomé & Príncipe,0,64,0%,55.48
Comoros,0,39,0%,26.44
Eritrea,0,14,0%,33.07
St. Pierre & Miquelon,0,12,0%,42.58
Tuvalu,0,7,0%,39.71
Norfolk Island,0,3,0%,3
Wallis & Futuna,0,1,0%,96
